year,month,cadusd
1993,9,0.7496
1993,8,0.7578
1993,7,0.7779
1993,6,0.7803
1993,5,0.7861
1993,4,0.787
1993,3,0.7946
1993,2,0.8004
1993,1,0.7885
1992,12,0.787
1992,11,0.7766
1992,10,0.8073
1992,9,0.8016
1992,8,0.8366
1992,7,0.8448
1992,6,0.8344
1992,5,0.8309
1992,4,0.8385
1992,3,0.8406
1992,2,0.845
1992,1,0.8512
1991,12,0.8656
1991,11,0.881
1991,10,0.8902
1991,9,0.8833
1991,8,0.8756
1991,7,0.8685
1991,6,0.8761
1991,5,0.8734
1991,4,0.8681
1991,3,0.8637
1991,2,0.8699
1991,1,0.861
1990,12,0.8619
1990,11,0.8585
1990,10,0.8568
1990,9,0.865
1990,8,0.8635
1990,7,0.8681
1990,6,0.8598
1990,5,0.853
1990,4,0.8583
1990,3,0.8548
1990,2,0.8386
1990,1,0.8428
1989,12,0.863
1989,11,0.8591
1989,10,0.8517
1989,9,0.8488
1989,8,0.8496
1989,7,0.8467
1989,6,0.8354
1989,5,0.8281
1989,4,0.8431
1989,3,0.8382
1989,2,0.8334
1989,1,0.8442
1988,12,0.8384
1988,11,0.8422
1988,10,0.8173
1988,9,0.8219
1988,8,0.8065
1988,7,0.8261
1988,6,0.8237
1988,5,0.8107
1988,4,0.8135
1988,3,0.81
1988,2,0.7942
1988,1,0.7841
1987,12,0.7691
1987,11,0.7635
1987,10,0.7599
1987,9,0.763
1987,8,0.7576
1987,7,0.7531
1987,6,0.7514
1987,5,0.7468
1987,4,0.7448
1987,3,0.7653
1987,2,0.7496
1987,1,0.7471
1986,12,0.7239
1986,11,0.7228
1986,10,0.7194
1986,9,0.72
1986,8,0.7209
1986,7,0.7258
1986,6,0.721
1986,5,0.7243
1986,4,0.7273
1986,3,0.7158
1986,2,0.7027
1986,1,0.7026
1985,12,0.7151
1985,11,0.7225
1985,10,0.7316
1985,9,0.7294
1985,8,0.7321
1985,7,0.7386
1985,6,0.7357
1985,5,0.7275
1985,4,0.7315
1985,3,0.7313
1985,2,0.7228
1985,1,0.7535
1984,12,0.7566
1984,11,0.7552
1984,10,0.7605
1984,9,0.7586
1984,8,0.7708
1984,7,0.7625
1984,6,0.7576
1984,5,0.7724
1984,4,0.7785
1984,3,0.7833
1984,2,0.7988
1984,1,0.8004
1983,12,0.8035
1983,11,0.807
1983,10,0.8113
1983,9,0.811
1983,8,0.8104
1983,7,0.8104
1983,6,0.8146
1983,5,0.813
1983,4,0.8155
1983,3,0.8103
1983,2,0.8137
1983,1,0.8086
1982,12,0.8132
1982,11,0.8082
1982,10,0.8156
1982,9,0.8089
1982,8,0.807
1982,7,0.7964
1982,6,0.7735
1982,5,0.8039
1982,4,0.8199
1982,3,0.8127
1982,2,0.8137
1982,1,0.8356
1981,12,0.843
1981,11,0.8499
1981,10,0.8313
1981,9,0.8286
1981,8,0.8319
1981,7,0.8104
1981,6,0.8329
1981,5,0.8308
1981,4,0.836
1981,3,0.8422
1981,2,0.8324
1981,1,0.8373
1980,12,0.8372
1980,11,0.8404
1980,10,0.8508
1980,9,0.8543
1980,8,0.8639
1980,7,0.8607
1980,6,0.8687
1980,5,0.863
1980,4,0.8417
1980,3,0.8393
1980,2,0.8734
1980,1,0.8632
1979,12,0.8559
1979,11,0.8543
1979,10,0.8442
1979,9,0.8616
1979,8,0.8574
1979,7,0.8549
1979,6,0.8562
1979,5,0.8615
1979,4,0.8755
1979,3,0.8616
1979,2,0.8377
1979,1,0.8331
1978,12,0.8427
1978,11,0.8534
1978,10,0.8568
1978,9,0.8449
1978,8,0.8686
1978,7,0.8838
1978,6,0.8891
1978,5,0.8904
1978,4,0.884
1978,3,0.8832
1978,2,0.8969
1978,1,0.9027
1977,12,0.9136
1977,11,0.9027
1977,10,0.9023
1977,9,0.9314
1977,8,0.9304
1977,7,0.9355
1977,6,0.9435
1977,5,0.9512
1977,4,0.9546
1977,3,0.946
1977,2,0.9556
1977,1,0.9804
1976,12,0.9907
1976,11,0.9954
1976,10,1.0286
1976,9,1.0275
1976,8,1.0188
1976,7,1.0254
1976,6,1.0322
1976,5,1.0204
1976,4,1.0216
1976,3,1.016
1976,2,1.0154
1976,1,0.9989
1975,12,0.9835
1975,11,0.9893
1975,10,0.9828
1975,9,0.9754
1975,8,0.9686
1975,7,0.9692
1975,6,0.9703
1975,5,0.9777
1975,4,0.981
1975,3,0.9965
1975,2,1.0018
1975,1,1.0005
1974,12,1.0087
1974,11,1.0128
1974,10,1.0156
1974,9,1.0143
1974,8,1.0155
1974,7,1.0212
1974,6,1.0285
1974,5,1.0393
1974,4,1.0391
1974,3,1.028
1974,2,1.0277
1974,1,1.0119
1973,12,1.002
1973,11,0.9998
1973,10,1.001
1973,9,0.9942
1973,8,0.9944
1973,7,0.9985
1973,6,1.0015
1973,5,1.0024
1973,4,0.9968
1973,3,1.0009
1973,2,1.0058
1973,1,1.0005
1972,12,1.0044
1972,11,1.0055
1972,10,1.0171
1972,9,1.0168
1972,8,1.0171
1972,7,1.0169
1972,6,1.0146
1972,5,1.0192
1972,4,1.0077
1972,3,1.0023
1972,2,0.9988
1972,1,0.9944
